,type,name,code,district,branch_name,date,ward,local_level,Name_Of_Palika_English,X,Y
5712,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066020,Banke,Khajura,2019-03-15,4,janaki,janaki,81.107625,28.559786
5713,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066021,Makwanpur,Kamane,2019-03-15,8,hetauda,hetauda,85.038319,27.433546
5714,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066022,Bardiya,Katarniya,2019-03-18,9,barbardiya,barbardiya,81.38653,28.31685
5715,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066023,Banke,Kohalpur Branch,2019-02-05,9,kohalpur,kohalpur,81.689699,28.20033
5716,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066024,Bardiya,Sitalabazar Branch,2019-03-25,8,badhaiyatal,badhaiyatal,81.48011,28.1851
5717,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066025,Nuwakot,Chhahre,2019-08-01,6,likhu,likhu,86.24067,27.377722
5718,Microfinance Institutions (Class D),Summit Laghubitta Bittiya Sanstha Limited,14066025,Nuwakot,Chhahre,2019-08-01,6,likhu,likhu,85.23727,27.89045
5719,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076002,Kathmandu,Branch Hattigauda,2014-11-07,8,budhanilkhantha,budhanilkhantha,85.348804,27.755046
5720,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076003,Kathmandu,Branch Kirtipur,2014-11-01,9,kirtipur,kirtipur,85.272651,27.682113
5721,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076004,Kathmandu,Branch Manamaiju,2014-11-01,10,tarakeshwor,tarakeshwor,85.300793,27.764742
5722,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076004,Kathmandu,Branch Manamaiju,2014-11-01,10,tarakeshwor,tarakeshwor,85.028455,27.914209
5723,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076005,Kathmandu,Branch Jorpati,2014-11-01,6,gokarneshwor,gokarneshwor,85.376088,27.725224
5724,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076006,Kathmandu,Branch Thankot,2014-11-01,3,chandragiri,chandragiri,85.242607,27.693198
5725,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076007,Kathmandu,Branch Jadibuti,2015-11-01,32,kathmandu,kathmandu,85.312068,27.698732
5726,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076008,Kathmandu,Branch Jarsingpauwa,2016-11-01,3,shankharapur,shankharapur,85.466243,27.728719
5727,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076009,Makwanpur,Branch Hetauda,2015-12-17,4,hetauda,hetauda,85.038319,27.433546
5728,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076010,Bara,Branch Simara,2016-12-16,2,jitpur simara,jitpur simara,84.95603,27.12989
5729,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076011,Lalitpur,Branch Chapagaun,2016-11-30,11,godawari,godawari,85.326869,27.604159
5730,Microfinance Institutions (Class D),Mahila Laghubitta Bittiya Sanstha Limited,14076011,Lalitpur,Branch Chapagaun,2016-11-30,11,godawari,godawari,80.55223,28.804124
5731,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064002,Rupandehi,Bhairahawa Branch,2018-02-18,8,siddharthanagar,siddharthanagar,83.36678,27.61456
5732,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064003,Rupandehi,Shankarnagar Branch,2018-02-18,2,tilottama,tilottama,83.4682608,27.6284907
5733,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064004,Rupandehi,Amuwa Branch,2018-02-18,7,siyari,siyari,83.3993933,27.566221
5734,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064005,Rupandehi,Shivapur,2018-02-18,11,tilottama,tilottama,83.4682608,27.6284907
5735,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064006,Rupandehi,Bashgadi,2018-02-18,8,sainamaina,sainamaina,82.32541,27.69034
5736,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064007,Rupandehi,Shankarpur Branch,2018-04-01,1,devdaha,devdaha,83.5869765,27.6280672
5737,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064008,Kapilbastu,Gorusinge Branch,2018-04-01,2,buddhabhumi,buddhabhumi,83.00662,27.64897
5738,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064009,Kapilbastu,Jitpur Branch,2018-05-08,1,banganga,banganga,83.170978,27.66355
5739,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064010,Rupandehi,Bankatta Branch,2018-06-14,1,sainamaina,sainamaina,82.32541,27.69034
5740,Microfinance Institutions (Class D),Manakamana Smart Laghubitta Bittiya Sanstha Ltd.,14064012,Palpa,Banstari Branch,2018-06-14,7,tansen,tansen,83.548699,27.8658
